Author,Title,Review,Rating,Dates,Restaurant
XanderT7,Excellent,Great mains and delicious deserts. Friendly staff. We requested and received the tables at the river side of the restaurant. Great experience.,5,Reviewed 27 November 2019 ,Wild Coriander
"simplytravelandeatSingapore, Singapore",Great hospitality and amazing food!,"Melaka is a location famous for its nyonya food due to its peranakan roots. A visit to this historical town is never complete without trying out their traditional peranakan fare. One can find numerous nyonya restaurants in melaka, but as the quaint little town grew in tourists visits, somehow, to find a good one among the many on offer here is getting more and more difficult.Thankful to have found this little small restaurant while I’m in melaka this time. Dining at this restaurant was really an experience. From the deco inside the restaurant, the utensils used and the food itself, i was soaked thoroughly in the peranakan culture, in a good way of course.The restaurant is housed in a traditional house. The owners really make an effort to introduced the peranakan culture into the dining experience. I was very impressed. To top that up, the food was simply amazing. The family was served by Carson, who impressed us so much with his hospitality that we felt really grateful. He’s not someone who simply hand over the menu, but explained the dishes found within the menu. He made some wonderful recommendation and was attentive throughout the meal. He was really genuine and forthcoming which made our entire meal, a totally enjoyable one!Please do yourself a favour and try their nyonya kuays when you are there and you wouldn’t regret it! I was very sad after tasting their kuays truly. Why you may ask and the answer is that I will have a very hard time trying to find kuays in Singapore with similar taste and texture.Thank you Carson for the wonderful experience that we had at wild coriander. Please stay the same always! Show less",5,Reviewed 25 November 2019 ,Wild Coriander
"AM0909London, United Kingdom",Great food & great service,"Very chool ambience, great food, superb service by Chandan,good airconditioning & wi fi & a river view- what's not to like. We went without tein babies & were instantly made to feel at home. Their ginger, lemon grass,lime drink was really nice, the lamb shank was fabulous! Everything we ordered was so good. Certainly going back there.Show less",5,Reviewed 24 November 2019 ,Wild Coriander
nathaliefern,Good Peranakan food!,"The Peranakan fare at this restaurant were great! Really good prices for the food we ate! Most restaurants would have charged more for that quality. Protip: if you ask to go to the back at night, you get to dine beside the Melaka river :)",5,Reviewed 23 November 2019 ,Wild Coriander
"RossR908Thames, New Zealand",Brilliant food,Had our dinner here tonight. First experience of Malay food in Melacca. Had pie tee for a starter - very tasty. The beef rendang was tender with just the right amount of spiceyness and served with rice and various condiments. My wife had the laksa which was way to big for her to eat but the flavours were spot on. Had the sago with coconut cream and gula to finish the meal - loved it too. Will definately make a return visit before we leave and highly recommend. Show less,5,Reviewed 15 November 2019 ,Wild Coriander
100Charlotte,Great food on both occasions we visited.,There always seems a crowd in this pretty little restaurant and you can see why. The Pie Tee are delicious as a started and the beef rendang and beans in garlic did not disappoint. All at a very reasonable price. Highly recommended,4,Reviewed 13 November 2019 ,Wild Coriander
Judy H,Wonderful!,"This is a wonderful restaurant that is a fusion of Asian and nyonya cuisine. The rendang and beans were standouts. The setting is lovely and so refreshing and cool after a long walk in the hot Melaka sun. It is definitely worth a visit,",5,Reviewed 13 November 2019 ,Wild Coriander
Steve1481948,First class in all aspects.,We walked past this place looking for somewhere to eat dinner. It looked way above clean and tidy and we thought if the food is half as good as the place looks it should be perfect.Well the choice and quality of the dinner were excellent and the cost was unbelievable inexpensive even in Melaka.We have been back twice more and Chandon the waiter goes out of his way to ensure you have an enjoyable experience.We will be returning before we leave Melaka.Show less,5,Reviewed 11 November 2019 ,Wild Coriander
Tracie0909,Tasty,"What a lovely restaurant!
Very friendly staff to help with menu choices.
The dishes were absolutely delicious with a great little spicy kick. Thoroughly recommended.",5,Reviewed 10 November 2019 ,Wild Coriander
Chicco2018A,Top food,"Ate here a few nights ago, loved the food! the staff was really nice, they immediately found us a table, and explained the menu with patience ad knowledge. The quality was really good, and the ambience made it for a lovely night.",5,Reviewed 6 November 2019 ,Wild Coriander
mwestlan,Nice place to visit ,Beef rendang and green curry recomend. Nice and clean restaurant. Airco inside. Polite staff.  It is close to city center.,5,Reviewed 5 November 2019 ,Wild Coriander
kmquek,Good service average food,The service here is good but the food is really a disappointment. There are much more options available in Melaka with far superior food quality.,3,Reviewed 5 November 2019 ,Wild Coriander
jontravelsandeats,Yummy rendang! ,Would go back again. Yummy rendang! You have to try the chicken and the beef rendang. Friendly server. Interesting interior for the Instagramme.,5,Reviewed 3 November 2019 ,Wild Coriander
LilyLi777,Family visit,"Amazing food and ambiance, beautiful presentation! Amazing service provided by Carson, had a wonderful time. The beef rendang in particular was delicious, and so tender!",5,Reviewed 21 October 2019 ,Wild Coriander
Bushymartin,"Excellent local food, great service ","Excellent local food, fresh and tasty, excellent service. Great setting next to the canal. Great place. The food was very quickly delivered",5,Reviewed 20 October 2019 ,Wild Coriander
NajihaR7,A gem in the city!,Beautiful cafe. Amazing service. Awesome food. The tables at the back entrance (riverside) are my favourite spot for a sweet little dinner date with my partner.,5,Reviewed 15 October 2019 ,Wild Coriander
yisiewt,Short trip ,Hidden restaurant beside a hotel . Within Little India of Melaka . Hard to find parking lot . Restaurant has very nice ambience. Very good customer service and food and drinks was great . Definitely worth a try when I come Melaka.,5,Reviewed 15 October 2019 ,Wild Coriander
"KereruHuggerWellington, New Zealand",Outstanding! ,"It is true what they say, absolutely amazing food. Seriously, the beef rendang is the best we have ever had. We also had the Brinjal Pajeri which was melt in mouth devine. The Udang Masak Lemak Nenas was highly recommended too and if we weren’t heading away tomorrow we would be back to have it. The Pie Tee was a perfect balance of taste for starters. Highly recommend. 6 stars Show less",5,Reviewed 8 October 2019 ,Wild Coriander
Odyssey811876,Awesome authentic dinner,"We had a delicious dinner at Wild Coriander. Enjoyed the fabulous shared lamb shank dish with Nonya vegetables as an extra. Great drinks menu too. 
We will be back!",5,Reviewed 6 October 2019 ,Wild Coriander
taniamonk,Totally delicious ,"Fabulous food and service. We tried the beef rendang, laksa, pie tees and noodles. One of the few places we have visited that labels the gluten free options. Great for kids too.",5,Reviewed 5 October 2019 ,Wild Coriander
"denisel318Singapore, Singapore",Best Rendang & Fantastic Service!,The service alone is worth the visit. We read the great reviews on Wild Coriander and stumbled upon it while we were walking along the river in the evening. One of the dishes we ordered was the rendang which was one of the best rendang dishes I've ever had. The service provided was great and Carson and his team went out of their to entertain our 3 year old daughter. She loved it so much that we went back the next night to have dessert and to say hello to the staff. The best tables are the 3 small tables by the river which are perfect for couples.Show less,5,Reviewed 1 October 2019 ,Wild Coriander
Bedjet,Amazing beef rendang,"Staff is really nice and the restaurant is lovely . The beef rendang was to die for , the best we had within our two month travel around Malaysia. The pie tee was also very nice . We made the mistake to come here on our last day in Melaka so couldn't come back for more ... we did get another portion of beef rendang take away tho !!Show less",5,Reviewed 22 September 2019 ,Wild Coriander
"Cymber263Melbourne, Australia",Absolute banger!!! Highly recommended,"My girlfriend and I had been walking around Melacca for a while so we were quite hangry, and when we found this place, we immediately fell in love with the place and we were served some 5star food with even better service. If you ever have the pleasure of being served by Carson, please give that man a bells! He was ever so attentive and his recommendation's were spot on!Show less",5,Reviewed 20 September 2019 ,Wild Coriander
"DeathsDragon95Hinckley, United Kingdom",Nice,"We were looking for somewhere to have a drink and found this place as we were walking past. The place was empty more or less inside although the small seating area outside the back with views of the river was full. We found and table and ordered drinks which were nice. We decided to order some food as well for a snack which we had a couple of different things to share. The food didn't take too long to come and the dishes were quite nice. Overall the place seemed clean, the decor is nice. The staff are friendly. The drinks were nice and the food as well. If you're in the area maybe try this place maybe more for drinks but the food is worth a try.Show less",4,Reviewed 18 September 2019 ,Wild Coriander
Harrison-F-Carter,A lovely visit... ,"Highly recommended. The place is full of colour, charm and character; the food and coffee was beautiful; it was good value - and above all, the staff were so friendly, helpful and good fun. A really lovely visit.",5,Reviewed 17 September 2019 ,Wild Coriander
"twnteoLondon, United Kingdom",Lunch,"Visited following the excellent reviews. We ordered pie tee, aubergine pajeri, beef rendang and otak otak, plus 2 bluepea rice. Pie tee casing was greasy, the filling was very bland with no sengkuang that we could taste. Can't identify the filling!.The aubergine pajeri taste was towards the indian flavour rather than a Malay flavour so that is a personal preference.The beef rendang was tender but doesn't taste like the Malay rendang. However it was flavoursome with the spices.Otak otak was not bad but I thot the texture was suppose to be fish flake rather than fish paste/cake texture.The rendang & aubergine was spicy!.Overall food was ok but nothing fantastic that I will go be rushing back to.Ambience and setting was quaint and lovely.Show less",3,Reviewed 16 September 2019 ,Wild Coriander
Timothy D,Don't bother,"Made a booking, turned up. They seemed so cool when making the booking. Indifferent staff in an empty restaurant. Couldn't provide options for a vegetarian, couldn't provide options for a meat eater, seemed unable to even deliver upon menu items. We left after the initial drinks, this place is a train crash. With so many options in Melaka to choose from, give this one a miss. CheersShow less",1,Reviewed 15 September 2019 ,Wild Coriander
"2adults3kidsonBudgetPetaling Jaya, Malaysia",Unassuming outside amazing inside,"This time we found WC rated highly in Google and gave it a try. Arriving on a weekday, we managed to find spots in the limited carparks right outside the restaurant. Entering the place was a 2 stage experience starting with nice to wow as we were sat in the middle of the restaurant. Deco is really nice, staff very friendly and food was delicious at good prices(RM15-25 per own portions). Their special chicken or beef rendang is a winner and we also enjoyed their special laksa. Don't miss their avocado gula melaka shake. Their backdoor exits to the river path which is also a nice instagramable spot. All in a recommended place for lunch.Show less",5,Reviewed 13 September 2019 ,Wild Coriander
Devika7005,Nostalgic eats,"First at all the environment was too good..it was calm,peaceful in and out..the decoration part was simple yet historical based in baby nyonya concept..i love that 10/10.foods was good.. i love their sides more than the main dishes..tomyam was quite ok but prefer more spicy..overall was a good eat ..7/10Show less",3,Reviewed 5 September 2019 ,Wild Coriander
Nicola H,Excellent,"Really good food. Lots of vegetarian options, and one of the few restaurants we’ve seen where gluten free options are marked (handy for the coeliacs on our group). The laksa is particularly recommended, but bring a friend (it’s huge!!)",5,Reviewed 4 September 2019 ,Wild Coriander
Rhys B,Rhys,"Fantastic food and service! Thank you very much guys. I highly recommend the prawn/pineapple dish with rice, incredible and spicy!",5,Reviewed 2 September 2019 ,Wild Coriander
"S6361FRstevesHoensbroek, The Netherlands",Fantastic evening with very good food and service,A pearl of a restaurant. Sometimes when you arrive in a restaurant you know in the first 30 seconds that it will be a good night.We arrived on a bike and asked if we could leave them at the back of the restaurant on the waterfront. Better than that the waiter said i will put them safe away for you. All the waiters where very friendly and took time to explain the menu and dishes. Also giving good advice about not ordering to much. We love eating and tasting new dishes also because i am a professional chef.So i am always looking for good food and service.We had the fresh mango lassi to cool down.It was one of the best we ever had in asia.We had the pie tee top hats as starter . veey light and crispy with a vegetarian filling. For main course we sheared the chicken randang an prawn pineapple curry with coconut rice. Both fantastic flavours. I make a goed randang but today the spicing was spot on For dessert we had the salted egg custard layerd cake with coconut ice cream and some extra palm sugar siroop. I will definitely be trying to recreate those tastes when i go back home. hope you have the same experience as us 1 tip for the waiters slow down a bit with the courses1 tip for the owner or chef put on a tasting menu. So that we can enjoy more of your food.Show less,4,Reviewed 30 August 2019 ,Wild Coriander
Romand F,Few days in melacca,"Perfect place, perfect food and lovely persons! You have to go if you love nice cooking. Enjoy et listen the good advices of the waiters",5,Reviewed 24 August 2019 ,Wild Coriander
"johnm136Perth, Australia",Lives up to its reputation ,"Visited this restaurant twice in our short trip to Melaka and found the food consistently excellent. The restaurant was located close to our hotel and backs on to the river. The decor is great and the staff friendly and professional, with the cost being affordable. Would recommend to everyone.Show less",5,Reviewed 22 August 2019 ,Wild Coriander
Tom M,Tasty evening,Very nice decorations inside and food to match! The staff are really friendly. You just have to order a mango lassi in case you're not used to eating the Malaysian medium-hot dish might be a very hot dish for european people but still such good food! We're very happy we found a restaurant near the river Show less,5,Reviewed 19 August 2019 ,Wild Coriander
"abrogers2001Perth, Australia",Tantalising flavours right next to the river,"We went to the River Side Cafe for lunch, but the owner was absent, so we wandered a few doors down on the embankment to this restaurant. It was a great move ! The food is authentically Malaysian with a few culinary twists that would put it in the top rank world wide. We had Mee Siam and Nasi Lemak with Beef Rendang, both of which were well presented and very tasty. Meal cost was A$23 for two. There are several freshly made fruit juices available. The decor in the place has been developed with imagination and good taste. There is little in the way of parking and given the location I would not try driving there. For a really excellent light lunch, I can recommend this place.Show less",4,Reviewed 18 August 2019 ,Wild Coriander
tujoe,A must visit when in Melaka,"We read up the reviews on Trip Advisor before deciding to visit this restaurant. And we were so happy to have done so. Firstly, if you are into Peranakan / Nonya cuisine, or like to try out, this is the place. The decor gives a very old world, warm feeling, And the food is simply to die for. We tried the Lamb Shank curry, with a thick sauce. So tender and juicy to the bone, simply mouth watering!! Also tried their signature Brinjal dish, and the mildly spicy achar.The suggested Lemongrass drink was too good, and a must try. Overall a great restaurant, though maybe a bit pricey.Show less",5,Reviewed 16 August 2019 ,Wild Coriander
sheosrai,Delicious,The food was really good and tasty here.  The ambiance is really nice and the service prompt.  Please go there early or book a table has it got really crowded from 630 pm onwards.,4,Reviewed 14 August 2019 ,Wild Coriander
tpLong,Nice Decor,"The restaurant is nice decor i.e. wall painting.  Not much comments on food as Im vegetarian. However, there are some vegetarian options there.",4,Reviewed 11 August 2019 ,Wild Coriander
"538vincentkEssen, Germany",Skip this place unless you like medan selera food ,"We had a meal here on our last day in Melaka. Having dined in other Peranakan restaurants, this was truly a disappointment. In fact, comparing it to the others is just an insult. None of the dishes had any depth of flavour and the presentation was atrocious. Placing lettuce leaves and tomato slices on every dish is what you do with nasi goreng in a food court. We should have walked straight out after looking at the menu. Ordering from it was a mistake. Show less",1,Reviewed 6 August 2019 ,Wild Coriander
"tonyking8652Essen, Germany",Everything was awful,"Billed as a classical nonya restaurant NOTHING served came even close to tasty food!Four dishes cane out all items plonked onto what appeared to be a half of a lollo bionda lettuce and a few slices of raw tomato and cucumber? What on earth has that sort of presentation got to do with good Malacca cuisine?The fish was diminutive and dry, the supposedly spicy devilled chicken was dry and tasteless , the Otak-Otake was rubbery ( more like Spam) and the only slightly tasty item was the brinjal . but the grey sauce looked very unappetising!The staff too , all came over as sullen and TOTALLY disinterested!A thoroughly bad choice!Show less",1,Reviewed 6 August 2019 ,Wild Coriander
"404MMMaastricht, The Netherlands","Tasty, friendly and nicely decorated","Food was great, nice decorations. We tried several dishes, all were top. Rendang meat is pretty spicy for some, I loved it. Do try the lassi drink if you think food is too hot. Nb pls trough out the filthy mats before the toilet.At the back you walk directly to the river.Show less",5,Reviewed 30 July 2019 ,Wild Coriander
306cathrynn,Great for meat eaters,"As meat eaters, my daughter and husband thoroughly enjoyed their meals. Well cooked and tasted delicious. The vegetarian dishes myself and my other daughter shared were not the best. The rice was over cooked and chewy, the vegetables flavourless and only luke- warm, but at least they provided some vegetable dishes, which is better than many restaurants in area!The service was excellent - helpful and attentive staff.Show less",3,Reviewed 29 July 2019 ,Wild Coriander
Jackking1342,"FANTASTIC Food, Friendly staff","Air Bandung is amazing there,A plentiful number of dishes to choose from, not too spicy  best chendol durian ever.A place that's certainly worth your money, with a lovely atmosphere bringing you to true Melaka.",5,Reviewed 29 July 2019 ,Wild Coriander
RickyR1305Singapore,Great food and interior decoration,"All the food we had ordered was delicious! Nothing taste bad at all. The restaurants staffs were friendly, can speak English and always smiling. I feel very relax to come here for dinner. I choose to sit inside to enjoy every detail of their interior. We ordered quite a lot of food for 3 people and the final bill come in was reasonable. Will return again.Show less",5,Reviewed 26 July 2019 ,Wild Coriander
Florie D,Very good and friendly staff ,Had a great experience at Wild coriander. The food was really good and staff very friendly. I really recommend this address for a good dinner in Melaka,5,Reviewed 26 July 2019 ,Wild Coriander
Nadia Van Camp ... T,Local restaurant,"Local atmosphere. Half of the dishes had to be taken by 2 or more persons. To find something not too spicy for kids is an adventure, but the staff guided us through the menu with good advice. 
Overall good food.",4,Reviewed 25 July 2019 ,Wild Coriander
Murray S,Great Discovery,Some brief research led us to Wild Coriander and we're more than happy we did. The food was great and very well priced. The chicken rendang was fantastic and the desert tray was eclectic. A great discovery.,5,Reviewed 24 July 2019 ,Wild Coriander
pavani9597,Great food and ambience,Just had dinner at this lovely place. Was intrigued with the deco . But the food did not disappoint. All the dishes was very good and tasty. Highly recommended.,4,Reviewed 19 July 2019 ,Wild Coriander
"Chandara KSingapore, Singapore",Beautiful Cosy Place with Excellent Excellent Food,"Excellent food with great ambience. Must try's are 1. Ondeh ondeh....wow ,the gula melaka oozing out2. The chicken rendang....awesome3. Mutton curry ...the thick gravy, and my 1st impression was my mom's cooking4. The variety of rice .....beautiful and it compliments with the dishesThe owners are simply great , ambience is made out of great personalities ,music ,deco and service. Will go back again....Show less",5,Reviewed 18 July 2019 ,Wild Coriander
"987cathycPeregian Springs, Australia",Excellent Lamb,"Have the lamb. It was beautiful. Full of flavour, falling off the bone, fantastic. Beef rendang very generous serving. Staff pleasant and food came out quickly. A bit slow to clear the plates afterwards. Coconut ice cream with Gula Melaka was a lovely cleanser after the meal. Lovely feel and busy. Show less",4,Reviewed 1 July 2019 ,Wild Coriander
shaikhy2016,Absolutely delightful service and food ,Felt being at a Peranakan Home with great hospitality and flavorful food. Particularly like their desert spread.,5,Reviewed 16 June 2019 ,Wild Coriander
Majkenpetersen,One of the best in town,Located a few minuts walk from the river. It was a bit of a coincidence that we found it for lunch. We had som great beef rendang and refreshing lime juice. Food was delicious and cozy athmosphere. Absolutely no complaints. Would gladly visit agin.,4,Reviewed 15 June 2019 ,Wild Coriander
LivingTravel_21,Food and personal are amazing,"I found this place thanks TripAdvisor.  Beautiful restaurant, nice style & comfortable. The food was excellent and same for the personal! 
I recommend the rendang dishes :)",5,Reviewed 15 June 2019 ,Wild Coriander
nick c,Great food,We had 2 dinners and 1 lunch during our 4 nights in malacca. Kept going back as we loved the food and ambiance. Staff were really friendly and helpful. Cafe is a typical peranakan house on the river with some seating outside. I really enjoyed the beef rendang and the appetisers.Show less,5,Reviewed 10 June 2019 ,Wild Coriander
"SaigonnedGeorge Town, Malaysia",Lunch,It’s a hidden gem. Decorated in Peranakan style. Very nice decor. The food was tasty. Avocado milkshake was superb. Perfect place for a lot of photos and good food. The portions r large for small eaters. The back is leading to the river. Only 2 tables at the riverside but u can only sit here at night when it is cooler. The waiters r polite. It only has a limited range of Peranakan food. Eating at night by the river I believe would truly be an experience. We where there in the afternoon. But it was cool inside. Would highly recommend this place at least once. Show less,4,Reviewed 9 June 2019 ,Wild Coriander
TerryandSian,Good evening meal ,"Just tried this restaurant after reading previous reviews, very good food and helpful staff, we’ll visit again.",5,Reviewed 8 June 2019 ,Wild Coriander
Caroline-vlt,Romantique ,"Very good ! You have to go there ! A bit expensive for Malacca but it is totally worth it. The location was amazing on the river 
And the staff very good and nice",5,Reviewed 7 June 2019 ,Wild Coriander
"foongailiKuala Lumpur, Malaysia",Hidden Gem in Malacca,"Peranakan Dishes at it’s best. Mushroom chicken and lamb stew are fabulous. The meehoon gets a . They have the Nonya Desserts spread on the table for you to pick and choose. Must try. Sadly, I wont recommend the cendol, it is disappointing. The atmosphere in the restaurant are so serene (in the middle section) and sort of opened up to a courtyard in a restored shoplot of a Pawn Shop. Away from the hustle bustle of nearby tourist crowd, the restaurant is tucked away by the river side.Be warn the food here maybe a bit spicy for non asian but it is somewhat of fine dining of local Peranakan food. Give it a try.Show less",5,Reviewed 5 June 2019 ,Wild Coriander
K2514TAamyb,Great food and great staff,This was a great place for our first night in Melaka. We asked for recommendations and they did not disappoint... the fish and chicken were especially delicious! Our experience was made even better by the friendly staff and lovely riverside setting. Thank you!,5,Reviewed 3 June 2019 ,Wild Coriander
Gabr_Docker,Nice linch in a really nice restaurant,"The good:
-	very nice-looking restaurant and ambient atmosphere
-	great service
-	food and drinks: great selection
-	affordable

Although the food was good, but it was missing the WOW! Factor.

Definitely recommended!",4,Reviewed 2 June 2019 ,Wild Coriander
darenbilas,Hidden gem in Melacca,We stopped by at Wild Coriander because of its unique ambience. Good serving of local food and hospitable crews as well. I highly suggest to try it when you visit Melacca,5,Reviewed 2 June 2019 ,Wild Coriander
"serenebooJohor Bahru, Malaysia",Delightful local cuisines in a quaint ambience,"It was the most memorable meal we had in Melaka. You won’t go wrong by ordering what is recommended by the experienced staff. The lemongrass drink brewed using their in-house recipe was so refreshing that my husband ordered two glasses for himself. The lamb shank was an excellent choice because it was tender and melt in the mouth. The rojak which was made of generous array of juicy fruits was exceptional. Overall, it is surely a restaurant I would come again in my next visit to Melaka.Show less",5,Reviewed 31 May 2019 ,Wild Coriander
"saifsphereSydney, Australia",Great Service and Awesome food,"By far the highlight of having dinner here is the service. The waiters will ensure you have a great meal with a massive smile on their faces. The restraint itself is quite large and set up for entertaining groups. Their menus features a vast amount of great dishes designed for sharing with friends or family. The area sitting next to the river is small but if it's full, inside is just as pleasant. Show less",5,Reviewed 29 May 2019 ,Wild Coriander
"GanLKuala Lumpur, Malaysia",Awesome fried non spicy meehun,"Went in for dinner. We were attracted by the deco of the shop- truly peranakan setting. We had a table by the river. Awesome to watch people walking past, joggers on their run, tourists on the Melaka river cruise. Had a great time savoring the authenic nyonya food. The non spicy fried meehun was awesome. So too were the pie tee and acar acar. After dinner, we had a walk along the river. Was an enjoyable walk - looking at the murals, lighted up buildings, lighted up bridges, restaurants and hotels , other people on the same path.Show less",4,Reviewed 25 May 2019 ,Wild Coriander
"7erence7amCanberra, Australia",Delicious fusion food with a perky interior deco,"We were actually looking for a Peranakan restaurant and stumbled upon this gem of a restaurant. The interior was bright, colourful and enticing. We sat by the courtyard, admiring the intricate detailing of the interior decoration.The menu was fascinating, it wasn’t a traditional Peranakan spread, but it had a fusion of Chinese and Indian cuisines, with a hint of European twist to its dishes.A special shout out to Carson, a young gentleman who served us. We were very happy with all his recommendations. The lambshank was simply delicious, the rojak was the best we’ve ever had, and the desserts were just unforgettable. Must try the salted egg yolk cake!Of all the dishes, I have to dedicate one paragraph to the mushroom chicken. This is in fact a very common dish, and very easy to prepare, even for an amateur weekend cook. But Wild Coriander has perfected it. The chicken is cooked to just the right doneness, the flavours are blended to just the right intensity, and the mushroom are braised to perfection.Show less",5,Reviewed 21 May 2019 ,Wild Coriander
Brent C,"Good lunch, nice view, friendly service ","There is a big space inside with aircon , if you want to sit by the river best to go at night when it’s cooler, unless you are ok to eat very spicy but excellent octopus sambal in the extreme heat.",5,Reviewed 19 May 2019 ,Wild Coriander
HayleyandDarren,Lovely food in Melaka,Really good restaurant by the riverside. We ate at a table next to the river with a great view. Food was also really nice and excellent value.,5,Reviewed 16 May 2019 ,Wild Coriander
D9335JXsophieb,Great ambiance,"We accidentally bumped unto this restaurant and were very pleasent suprised! The ambiance is great, service very good and the food was delicious!",5,Reviewed 14 May 2019 ,Wild Coriander
Sue G,Evening meal,"Lovely setting along the river with very friendly staff. Meal was traditional and interesting. Nutmeg ice is a novel drink to try if not done so before!
Thankyou all for an enjoyable evening.",4,Reviewed 14 May 2019 ,Wild Coriander
"265felihSingapore, Singapore",Best food we’ve had in Malacca,"We went there twice, for lunch and for dessert.Wild coriander is in a charming old building, next to the river. It’s very cool without using AC and overall a very relaxing place.We tried their beef rendang (absolutely excellent) and Rojak.For dessert, we tried the Durian Chendol (delicious) and had some traditional crepes with coconut and gula Melaka.Show less",5,Reviewed 13 May 2019 ,Wild Coriander
"martynr242Sydney, Australia",Best Beef Rendang Ever,"Charming host, excellent food and good prices. And did I mention the best beef Rendang ever? We tripped across Wild Coriander on the way to Riverview and given the high occupancy and great position on the river we made a last minute change. No regrets and would highly recommend. Show less",5,Reviewed 7 May 2019 ,Wild Coriander
"Adrian PLangkawi, Malaysia",Not for us,"Well the service was amazing, the presentation was a real wow and that's where it ends. If you like chilly you will love this place cause I like but this was rediculous inedible comes to mind. My wife was ill when we got back to hotel and I was just starving because I really could not eat. We asked politely if it was spicy and the response was 'yes sir, little bit spicy' . I have a beautiful photo of the food but when you eat it uuuuck...Show less",2,Reviewed 4 May 2019 ,Wild Coriander
"elenatG5666SOSingapore, Singapore",Hits and misses,"The achar was really good, a little on the sweet side. The rest are just alright...Disappointed with the kueh pieties - the cups were stale and the texture became tough and chewy rather than crispy.There’s no sambal belachan but the friendly staff gave us three types of chilli paste that we that we didn’t find exciting or inspiring.We had desserts - salted egg yolk cake gave a hint of the egg yolk. The sago gula melaka was a huge let down that we left it after a spoon - too much coconut milk and too little gula, the coconut milk taste strange as well plus the sago was overcooked, too soft and lumpy. We also had glutinous rice cooked in brown sugar and we kept biting into bits of uncooked rice. The only dessert that we smiled to was the kueh with green Pandan custard, fragrant but texture can be better too. Chendol was just alright The friendly staff saved the day...Show less",3,Reviewed 29 April 2019 ,Wild Coriander
680martijna,Diner,We visited Wild Coriander for diner with a family (5 pax). The food is very nice and the service is friendly and excellent. Traditional Melaka taste with spicy elements.,5,Reviewed 24 April 2019 ,Wild Coriander
"Wayfarer115Ottawa, Canada",Overpriced & mediocore food,"We went there with high expectations based on several reviews. The restaurant is along the river and has a pleasant decor. Seemed like a pleasant spot to drink a few beers and eat some more refined food; but we were disappointed. The menu looked appetizing and items were priced significantly more than many local restaurants in town; but the fried noodles were very skimpy on ingredients and no better than what others serve in town for half the price or less. The wait staff tried to work hard, but delivering food to tables using a noisy cart on the tiled floor detracted from the dining experience as well. So, although the restaurant had many good points going for it (location, decor), it did not deliver on its intended mission.Show less",3,Reviewed 21 April 2019 ,Wild Coriander
Q435EUpeterl,Nice and friendly place,Good food in nice environment was our experience being a small family looking for tasty local food tonight in Melaka. To be recommended to families and smaller groups.,5,Reviewed 20 April 2019 ,Wild Coriander
marco365509,Very nice,"Prob the best place on the river for couples, table next to the water, nice wood, good service, Carson is the guy you want to be served by, he is real good. Cold beers and nice dessert.",4,Reviewed 20 April 2019 ,Wild Coriander
capsicum0620Thailand,Tourist trap,"Now...the challenge would be to hire a traditional Malaysian cook and have her/him blind tasting the dishes featured on the menu..My..my...... this place is to Malay cuisine what Taco Bell is to the Mexican gastronomy.Everything was bland beyond imagination, cooked hours (if not centuries) in advance and definitely too sweet. The Chicken from Hell (Approximate quote of its name on the menu),for example, was a disaster. A failed copy of a Massamam chicken any apprentice cook performs flawlessly in Thailand. When we asked for some chilli paste, the waiter told us ""we are an Asian restaurant, Sir. We don't have any.."" That sure left us wondering where we had landed.. We eventually ended up with a spoonfull of soja sauce with chopped chilli... As if Malaysia did not have any Sambal...Another of those impostures unmasked..Show less",2,Reviewed 15 April 2019 ,Wild Coriander
563imret,Very good,"Excellent food and very friendly staff. Best spot to sit is the small outdoor terrace at the back on the river side .
Can recommend the ‘share’ dining option. Large enough portions. Most important everything tasts delicious!",4,Reviewed 15 April 2019 ,Wild Coriander
chanapatm,Perfect place,"This place is absolutely recommended. Great location by the river with pleasant atmosphere. Staff is very attentive to recommend food choice to you. The menu is truly authentic to Melaka. Great place especially considering the taste, the view, the service and the price. Definitely recommended.",5,Reviewed 14 April 2019 ,Wild Coriander
miamiaaaa,Lovely staff,I received warm greeting from the staff here.he introduced me a nice pandan dessert. It’s so annoying that tripadvisor ask me to entry at least 50 words. I am think of deleting the app. Screw tripadvisorjdjdfbfhdjjddnjddkkskfnfkf學學課返兇猛學學考穿吻我第物秒看過能否再一次機會。但你自己都江堰支援服務中心人物之外！你自己說不定有沒有,5,Reviewed 11 April 2019 ,Wild Coriander
KevD168,Good local food,"Food was good, tasty and enough for two people. 
Place is very nice, not close from the Main Street and it’s good for enjoying a quiet and good diner. 
Spices are well dosed!
Service a bit slow",4,Reviewed 6 April 2019 ,Wild Coriander
"laladabCambridge, United Kingdom",Very good food next to the river,"The food was amazing! Beef redang was out of this world, green curry was superb and I couldn’t have enough of their aubergines in vegetable sauce! The service was very good too. The space itself was beautiful, spotless and nicely decorated! Overall one of the best eateries in Melacca! Show less",5,Reviewed 6 April 2019 ,Wild Coriander
richardwarwick1969,Wonderful highly recommended ,"Great food (randang beef in particular). Great location just off the beaten track. Great, smiley service. Good value.",5,Reviewed 6 April 2019 ,Wild Coriander
Sebapetter,"Very cosy, good atmosphere and nice food","Very nice restaurant and friendly staff. Cosy location and tables by the river. 
The lamb shank was supreme! But the pineapple prawns was way to spicy - though they told us medium spicy.",4,Reviewed 5 April 2019 ,Wild Coriander
